,1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, allTime, allTime
NH, 0.07756, 0.07156, 0.06782, 0.066, 0.05556, 0.04944, 0.04824, 0.05, 0.0461, 0.0473, 0.04473, 0.0433, 0.04539, 0.04442, 0.04596, 0.04194, 0.04422, 0.0423, 0.04348, 0.04528, 0.04351, 0.04539, 0.04358, 0.04608, 0.04346, 0.04457, 0.04466, 0.04689, 0.04582, 0.04411, 0.04212, 0.03985, 0.03953, 0.03878, 0.04203, 0.04101, 0.03649, 0.03148, 0.03501, 0.03398, 0.03687, 0.03707, 0.03721, 0.03748, 0.03792, 0.03852, 0.03545, 0.03718, 0.03812, 0.03758, 0.03809, 0.03754, 0.03834, 0.04057, 0.03981, 0.04182, 0.04427, 0.04277, 0.04462, 0.0436, 0.04472, 0.04461, 0.04743, 0.04824, 0.05005, 0.04911, 0.04759, 0.04627, 0.04325, 0.04152, 0.04064, 0.04228, 0.04317, 0.04171, 0.04079, 0.04186, 0.03919, 0.03852, 0.03861, 0.03948, 0.04132, 0.04174, 0.04391, 0.04559, 0.04527, 0.04581, 0.04896, 0.04843, 0.05124, 0.05307, 0.05375, 0.05473, 0.05463, 0.0557, 0.05789, 0.05945, 0.06285, 0.06263, 0.06599, 0.0648, 0.06836, 0.0689, 0.06977, 0.07043, 0.07438, 0.06941, 0.07331, 0.07145, 0.07048, 0.07323, 0.15396, 
NJ, 0.02718, 0.02357, 0.01995, 0.01763, 0.01535, 0.01361, 0.01317, 0.01292, 0.01248, 0.01251, 0.01233, 0.01258, 0.01283, 0.01334, 0.01257, 0.01299, 0.01365, 0.01349, 0.01367, 0.01385, 0.01387, 0.01421, 0.0144, 0.01488, 0.01561, 0.01542, 0.016, 0.01622, 0.01599, 0.01676, 0.01583, 0.01491, 0.01334, 0.01361, 0.0139, 0.01424, 0.01246, 0.01211, 0.01254, 0.01291, 0.01311, 0.01211, 0.01203, 0.01226, 0.01157, 0.0121, 0.01216, 0.01252, 0.01279, 0.01333, 0.01333, 0.01365, 0.0138, 0.01395, 0.01379, 0.01513, 0.01563, 0.01624, 0.01735, 0.01773, 0.01824, 0.01925, 0.0217, 0.02305, 0.02343, 0.02465, 0.02493, 0.02509, 0.02625, 0.02622, 0.02597, 0.02534, 0.02459, 0.02411, 0.02347, 0.02329, 0.02387, 0.02344, 0.02317, 0.02296, 0.02377, 0.02432, 0.02475, 0.02493, 0.0254, 0.02633, 0.02641, 0.02766, 0.02823, 0.02825, 0.02917, 0.03078, 0.03024, 0.03162, 0.03166, 0.03292, 0.03313, 0.03481, 0.03511, 0.03636, 0.03666, 0.03711, 0.03773, 0.03734, 0.03687, 0.03686, 0.03686, 0.03782, 0.03831, 0.03823, 0.13012, 
NM, 0.08882, 0.09277, 0.0857, 0.08439, 0.07568, 0.06914, 0.06507, 0.06763, 0.06217, 0.06381, 0.06054, 0.0588, 0.05787, 0.06066, 0.05896, 0.05989, 0.06046, 0.05926, 0.05928, 0.06069, 0.0559, 0.05613, 0.05627, 0.05654, 0.0547, 0.05086, 0.05269, 0.05305, 0.05087, 0.04826, 0.04993, 0.04638, 0.04882, 0.04624, 0.0442, 0.04498, 0.04098, 0.03832, 0.0376, 0.03831, 0.03723, 0.0363, 0.0354, 0.03602, 0.03557, 0.0359, 0.03551, 0.03599, 0.03568, 0.03483, 0.03582, 0.03647, 0.03808, 0.03887, 0.03884, 0.0425, 0.046, 0.04638, 0.0495, 0.04896, 0.04747, 0.0512, 0.04963, 0.05101, 0.0517, 0.05352, 0.05164, 0.04979, 0.04948, 0.0489, 0.04471, 0.04721, 0.04488, 0.04337, 0.04678, 0.04584, 0.0474, 0.04679, 0.04626, 0.04664, 0.04935, 0.05013, 0.05081, 0.05089, 0.05213, 0.0524, 0.05206, 0.05415, 0.05459, 0.05328, 0.05716, 0.05786, 0.059, 0.06175, 0.06359, 0.06297, 0.0628, 0.0654, 0.06577, 0.06925, 0.06908, 0.06954, 0.07021, 0.07135, 0.07174, 0.07188, 0.07409, 0.07493, 0.07537, 0.07345, 0.15956, 
NV, 0.15385, 0.16327, 0.16667, 0.12403, 0.135, 0.11792, 0.11232, 0.112, 0.10526, 0.11441, 0.11458, 0.10714, 0.12554, 0.1087, 0.10769, 0.10701, 0.10788, 0.11032, 0.11962, 0.12017, 0.11, 0.10121, 0.11486, 0.10769, 0.11189, 0.10473, 0.10213, 0.10818, 0.11084, 0.10941, 0.09316, 0.09639, 0.0898, 0.07955, 0.07937, 0.07419, 0.08263, 0.07984, 0.07762, 0.07796, 0.08081, 0.08132, 0.07732, 0.07376, 0.07275, 0.06602, 0.06737, 0.06787, 0.07339, 0.07445, 0.06804, 0.06742, 0.0664, 0.0641, 0.06346, 0.06585, 0.06605, 0.06726, 0.06603, 0.06789, 0.06459, 0.0646, 0.0662, 0.06534, 0.06632, 0.06641, 0.06112, 0.0615, 0.0603, 0.05666, 0.05542, 0.05278, 0.05298, 0.051, 0.0524, 0.05248, 0.05046, 0.05162, 0.0472, 0.05078, 0.04888, 0.0496, 0.04953, 0.0511, 0.05225, 0.05238, 0.05418, 0.05547, 0.05302, 0.05562, 0.05451, 0.05533, 0.05522, 0.05611, 0.05488, 0.05454, 0.05414, 0.0547, 0.05604, 0.05957, 0.05977, 0.0615, 0.06037, 0.05845, 0.05781, 0.05975, 0.06073, 0.06044, 0.06126, 0.06147, 0.16652, 
NY, 0.01391, 0.01245, 0.01081, 0.01017, 0.00882, 0.00785, 0.00779, 0.00745, 0.0076, 0.00746, 0.00755, 0.00747, 0.00776, 0.00756, 0.00781, 0.00773, 0.00801, 0.00802, 0.00814, 0.00806, 0.00819, 0.00834, 0.00857, 0.00911, 0.00881, 0.00896, 0.00902, 0.00888, 0.00898, 0.00905, 0.00878, 0.00869, 0.00808, 0.0082, 0.00867, 0.00867, 0.00779, 0.00748, 0.00791, 0.00792, 0.00794, 0.00772, 0.00782, 0.00802, 0.00797, 0.0079, 0.0081, 0.00821, 0.00838, 0.00851, 0.00869, 0.00892, 0.00913, 0.00936, 0.00977, 0.01015, 0.01084, 0.01154, 0.01204, 0.01259, 0.01302, 0.01433, 0.01593, 0.01705, 0.0173, 0.0183, 0.01855, 0.01884, 0.01896, 0.01854, 0.01868, 0.01855, 0.01854, 0.01766, 0.01835, 0.01835, 0.01879, 0.01839, 0.01861, 0.01934, 0.01902, 0.01966, 0.02009, 0.02053, 0.02083, 0.02158, 0.02183, 0.02258, 0.02314, 0.02369, 0.02418, 0.02492, 0.02464, 0.02496, 0.02561, 0.02612, 0.02658, 0.02657, 0.0276, 0.02767, 0.02774, 0.0278, 0.02825, 0.02761, 0.02752, 0.02779, 0.02806, 0.02823, 0.02882, 0.02897, 0.10418, 
OH, 0.02244, 0.02032, 0.0175, 0.01613, 0.01539, 0.01238, 0.01246, 0.01197, 0.01179, 0.01163, 0.01116, 0.01115, 0.01153, 0.01125, 0.01146, 0.01127, 0.01152, 0.01148, 0.01172, 0.01209, 0.01163, 0.01198, 0.01249, 0.01285, 0.01236, 0.01237, 0.01192, 0.01218, 0.01202, 0.01192, 0.01154, 0.01148, 0.01052, 0.01083, 0.01128, 0.01137, 0.01004, 0.00911, 0.00965, 0.00956, 0.00983, 0.00929, 0.00917, 0.00942, 0.00935, 0.00955, 0.00965, 0.00945, 0.00967, 0.00991, 0.0104, 0.01042, 0.01083, 0.01116, 0.01145, 0.01156, 0.01189, 0.01255, 0.01282, 0.01272, 0.01326, 0.0141, 0.01509, 0.01583, 0.01647, 0.01623, 0.0166, 0.01686, 0.0166, 0.01705, 0.01646, 0.01665, 0.0164, 0.0165, 0.01666, 0.01691, 0.01749, 0.0174, 0.01763, 0.01837, 0.01847, 0.0192, 0.01946, 0.02025, 0.02072, 0.02093, 0.02179, 0.02237, 0.02292, 0.02341, 0.02428, 0.02449, 0.02541, 0.02654, 0.0273, 0.02837, 0.0285, 0.02943, 0.02993, 0.03112, 0.03158, 0.03199, 0.03223, 0.03214, 0.03178, 0.032, 0.03295, 0.03317, 0.03352, 0.03385, 0.12165, 
OK, 0.03835, 0.0364, 0.03377, 0.03246, 0.03106, 0.02731, 0.02656, 0.02504, 0.02378, 0.02396, 0.02236, 0.02246, 0.02268, 0.0232, 0.02168, 0.02196, 0.02207, 0.02225, 0.02258, 0.02276, 0.02184, 0.02346, 0.02373, 0.0236, 0.02307, 0.02336, 0.02449, 0.02525, 0.02475, 0.02498, 0.02515, 0.02424, 0.02403, 0.02253, 0.02366, 0.02513, 0.02278, 0.02207, 0.02256, 0.02279, 0.02314, 0.02248, 0.02258, 0.02214, 0.02272, 0.02358, 0.02378, 0.02362, 0.02551, 0.02489, 0.02613, 0.02553, 0.02541, 0.02712, 0.02765, 0.02943, 0.03109, 0.03201, 0.03066, 0.03128, 0.03032, 0.03111, 0.03269, 0.03348, 0.03345, 0.03324, 0.03317, 0.03252, 0.03341, 0.03262, 0.03197, 0.03015, 0.02946, 0.02947, 0.03053, 0.03091, 0.0319, 0.03198, 0.03431, 0.03463, 0.0337, 0.03505, 0.03769, 0.03802, 0.03979, 0.03917, 0.04032, 0.042, 0.04117, 0.04245, 0.0434, 0.04462, 0.04666, 0.04642, 0.04755, 0.04776, 0.04946, 0.05012, 0.05241, 0.05192, 0.05298, 0.05361, 0.05379, 0.05281, 0.05311, 0.05309, 0.05546, 0.05546, 0.05472, 0.05677, 0.13138, 
OR, 0.07429, 0.06785, 0.05444, 0.05223, 0.04941, 0.04359, 0.0434, 0.04329, 0.0403, 0.03894, 0.03902, 0.03632, 0.03621, 0.03654, 0.03734, 0.03737, 0.03859, 0.03742, 0.04072, 0.04083, 0.03626, 0.03971, 0.0414, 0.04204, 0.0408, 0.04047, 0.03784, 0.03771, 0.03577, 0.03484, 0.03406, 0.03208, 0.03115, 0.02851, 0.02923, 0.02895, 0.02563, 0.02551, 0.02514, 0.02515, 0.02569, 0.02545, 0.02373, 0.02474, 0.0249, 0.02545, 0.02611, 0.02743, 0.0277, 0.02876, 0.02739, 0.02878, 0.0289, 0.03125, 0.03179, 0.03232, 0.03319, 0.03378, 0.03304, 0.0322, 0.03286, 0.03542, 0.03577, 0.03652, 0.03489, 0.03465, 0.03517, 0.03557, 0.03425, 0.03364, 0.03154, 0.03288, 0.03298, 0.03236, 0.03168, 0.03368, 0.03496, 0.03356, 0.0357, 0.03536, 0.03587, 0.03554, 0.03814, 0.03815, 0.03969, 0.03964, 0.04012, 0.04102, 0.04088, 0.0431, 0.04331, 0.04367, 0.04605, 0.04461, 0.04605, 0.04688, 0.0478, 0.04844, 0.04891, 0.05042, 0.05216, 0.05273, 0.0526, 0.05118, 0.0535, 0.05213, 0.05197, 0.05429, 0.05252, 0.05379, 0.15572, 
PA, 0.01288, 0.01249, 0.01079, 0.01017, 0.009, 0.00795, 0.00762, 0.00753, 0.00739, 0.00747, 0.00754, 0.00736, 0.00776, 0.00776, 0.00763, 0.00778, 0.0082, 0.00812, 0.00807, 0.00856, 0.00845, 0.00837, 0.00889, 0.00917, 0.00906, 0.00917, 0.00933, 0.00936, 0.00916, 0.00935, 0.00932, 0.00907, 0.0086, 0.00864, 0.00916, 0.00944, 0.00855, 0.00786, 0.00841, 0.00846, 0.00863, 0.00843, 0.0081, 0.00843, 0.00824, 0.00856, 0.00849, 0.00853, 0.00869, 0.00876, 0.00919, 0.00938, 0.00973, 0.01003, 0.01024, 0.01065, 0.01125, 0.01167, 0.01191, 0.01284, 0.0129, 0.01378, 0.01491, 0.01562, 0.01596, 0.01711, 0.01689, 0.01709, 0.01738, 0.01689, 0.01689, 0.01653, 0.01651, 0.01651, 0.01643, 0.01723, 0.01763, 0.01784, 0.01777, 0.0181, 0.01869, 0.01908, 0.02015, 0.01991, 0.0209, 0.02124, 0.02171, 0.02283, 0.02321, 0.0239, 0.02431, 0.02505, 0.02559, 0.02637, 0.02709, 0.02821, 0.02757, 0.0287, 0.02958, 0.03027, 0.03053, 0.03032, 0.03055, 0.03102, 0.03038, 0.0308, 0.03141, 0.03223, 0.03223, 0.03311, 0.09067, 
RI, 0.06617, 0.05998, 0.05212, 0.04996, 0.04325, 0.03931, 0.03623, 0.03717, 0.03563, 0.03603, 0.03423, 0.03408, 0.03434, 0.03401, 0.03445, 0.03494, 0.0338, 0.03432, 0.03567, 0.03547, 0.03611, 0.03683, 0.03613, 0.03743, 0.03641, 0.03617, 0.03714, 0.03783, 0.0376, 0.03527, 0.03597, 0.03556, 0.03157, 0.03064, 0.03049, 0.03056, 0.02747, 0.02569, 0.02801, 0.02653, 0.02825, 0.02646, 0.02528, 0.02604, 0.02616, 0.02634, 0.02727, 0.02742, 0.02848, 0.02948, 0.03086, 0.03255, 0.0318, 0.03059, 0.03309, 0.03327, 0.03255, 0.03567, 0.03646, 0.03753, 0.037, 0.0398, 0.04341, 0.0451, 0.04441, 0.04665, 0.0459, 0.04528, 0.04553, 0.04831, 0.0471, 0.04654, 0.04567, 0.0441, 0.04253, 0.0451, 0.0409, 0.04307, 0.0441, 0.04276, 0.04417, 0.04465, 0.04703, 0.04972, 0.04902, 0.04954, 0.05155, 0.05404, 0.05674, 0.05735, 0.06002, 0.05882, 0.06114, 0.06104, 0.06434, 0.0651, 0.06657, 0.06932, 0.07277, 0.0774, 0.07708, 0.07655, 0.07345, 0.0783, 0.07623, 0.07703, 0.0788, 0.0807, 0.08023, 0.08035, 0.14499, 
SC, 0.03088, 0.03185, 0.02853, 0.02759, 0.02454, 0.023, 0.0221, 0.02251, 0.02065, 0.02067, 0.01981, 0.02005, 0.01995, 0.01988, 0.0202, 0.01955, 0.01992, 0.02063, 0.0215, 0.02201, 0.02189, 0.02205, 0.02162, 0.02168, 0.02117, 0.02102, 0.02199, 0.02143, 0.02167, 0.02127, 0.02105, 0.02116, 0.0198, 0.01968, 0.02102, 0.021, 0.02038, 0.01875, 0.01928, 0.01895, 0.01937, 0.01892, 0.0192, 0.01962, 0.01898, 0.02023, 0.01971, 0.02018, 0.0211, 0.02084, 0.02228, 0.02274, 0.02286, 0.02307, 0.02423, 0.02508, 0.02558, 0.02684, 0.02722, 0.02745, 0.02762, 0.02767, 0.02911, 0.03107, 0.03123, 0.03203, 0.03305, 0.03447, 0.03419, 0.03456, 0.03401, 0.03333, 0.03279, 0.03141, 0.03272, 0.03302, 0.03173, 0.03209, 0.03362, 0.03172, 0.0331, 0.03398, 0.03501, 0.03503, 0.03583, 0.03752, 0.03779, 0.03838, 0.03891, 0.03973, 0.03981, 0.04242, 0.04291, 0.04423, 0.04551, 0.04559, 0.04625, 0.04694, 0.04822, 0.04778, 0.04926, 0.04988, 0.049, 0.04905, 0.04812, 0.04789, 0.04761, 0.04923, 0.05005, 0.04973, 0.11999, 
SD, 0.06285, 0.06482, 0.05539, 0.05188, 0.04945, 0.0415, 0.0399, 0.04093, 0.03996, 0.03841, 0.03716, 0.03681, 0.03715, 0.03738, 0.03897, 0.03888, 0.03884, 0.03958, 0.04076, 0.04058, 0.03928, 0.03878, 0.0399, 0.04097, 0.04183, 0.0422, 0.0407, 0.04086, 0.04426, 0.0418, 0.04197, 0.04029, 0.04126, 0.0389, 0.03711, 0.0388, 0.03512, 0.03403, 0.0339, 0.03365, 0.03462, 0.03212, 0.03301, 0.0336, 0.03675, 0.03523, 0.03654, 0.03834, 0.03732, 0.03978, 0.03958, 0.04117, 0.04343, 0.04137, 0.04399, 0.04629, 0.04904, 0.05035, 0.05144, 0.05427, 0.05235, 0.05383, 0.05936, 0.05688, 0.0558, 0.0525, 0.05381, 0.05168, 0.05087, 0.05128, 0.05026, 0.05168, 0.04892, 0.04826, 0.04874, 0.04984, 0.04978, 0.05152, 0.0529, 0.0553, 0.05559, 0.05672, 0.05557, 0.05984, 0.06181, 0.06323, 0.06468, 0.06478, 0.07155, 0.06838, 0.06957, 0.07495, 0.07325, 0.07502, 0.07799, 0.07869, 0.07958, 0.08182, 0.08466, 0.08358, 0.08811, 0.08548, 0.08554, 0.08339, 0.08668, 0.08697, 0.08487, 0.08789, 0.09013, 0.09227, 0.1453, 
TN, 0.03226, 0.03167, 0.02854, 0.02743, 0.02576, 0.0223, 0.02229, 0.0217, 0.02054, 0.0201, 0.01973, 0.01956, 0.01976, 0.0189, 0.01817, 0.01848, 0.02, 0.019, 0.01919, 0.01912, 0.01905, 0.01816, 0.0182, 0.01914, 0.01831, 0.01814, 0.01848, 0.01849, 0.01807, 0.01826, 0.01832, 0.01684, 0.01682, 0.01614, 0.01679, 0.01716, 0.01541, 0.01418, 0.01519, 0.0147, 0.01542, 0.01482, 0.01582, 0.01528, 0.01565, 0.01626, 0.01638, 0.01665, 0.01747, 0.01755, 0.01811, 0.01876, 0.01812, 0.01897, 0.0186, 0.0194, 0.02011, 0.02102, 0.02095, 0.02106, 0.02118, 0.02192, 0.02343, 0.02467, 0.02492, 0.02629, 0.02526, 0.02531, 0.02623, 0.02538, 0.02469, 0.02481, 0.02448, 0.02436, 0.02478, 0.02495, 0.02523, 0.02573, 0.0262, 0.02623, 0.02621, 0.02673, 0.0282, 0.02857, 0.02841, 0.02912, 0.02908, 0.02976, 0.03102, 0.03103, 0.03146, 0.03289, 0.03372, 0.03415, 0.03485, 0.03636, 0.03695, 0.03745, 0.03883, 0.03961, 0.04031, 0.04043, 0.04162, 0.04073, 0.04033, 0.04019, 0.04149, 0.04137, 0.04151, 0.04189, 0.12422, 
TX, 0.02998, 0.02981, 0.02655, 0.02518, 0.02271, 0.02159, 0.02149, 0.02033, 0.01989, 0.01949, 0.0184, 0.01831, 0.01817, 0.01858, 0.01806, 0.01766, 0.01783, 0.01798, 0.01781, 0.01704, 0.01705, 0.01767, 0.01751, 0.01796, 0.01735, 0.0175, 0.01793, 0.01779, 0.01723, 0.017, 0.01667, 0.01598, 0.01573, 0.01461, 0.0143, 0.0149, 0.01359, 0.01298, 0.01294, 0.01256, 0.01258, 0.01229, 0.01186, 0.012, 0.01198, 0.01216, 0.01239, 0.01211, 0.01248, 0.01251, 0.01291, 0.01333, 0.01319, 0.01345, 0.01403, 0.01476, 0.01542, 0.01575, 0.01592, 0.0156, 0.01577, 0.01584, 0.01688, 0.01742, 0.01743, 0.01787, 0.0179, 0.01797, 0.01803, 0.01739, 0.01698, 0.01671, 0.01626, 0.01595, 0.01612, 0.01635, 0.01641, 0.01701, 0.01676, 0.01749, 0.0173, 0.01754, 0.01808, 0.01793, 0.01864, 0.01849, 0.01875, 0.01897, 0.01949, 0.01958, 0.01964, 0.02036, 0.02066, 0.021, 0.02102, 0.02123, 0.02129, 0.02187, 0.02205, 0.02271, 0.0229, 0.02316, 0.02322, 0.023, 0.02239, 0.02235, 0.02255, 0.02277, 0.02272, 0.02285, 0.13091, 
UT, 0.08278, 0.08183, 0.07285, 0.06925, 0.06302, 0.05308, 0.04981, 0.04804, 0.04551, 0.0489, 0.04652, 0.04586, 0.0479, 0.04574, 0.04696, 0.04506, 0.04724, 0.04869, 0.04753, 0.04765, 0.04705, 0.04758, 0.04805, 0.05092, 0.04673, 0.05077, 0.05023, 0.04832, 0.05059, 0.04667, 0.04734, 0.04677, 0.04203, 0.03915, 0.03968, 0.04002, 0.03676, 0.03562, 0.03736, 0.03695, 0.03722, 0.03552, 0.03517, 0.03555, 0.03415, 0.03617, 0.03529, 0.03697, 0.03738, 0.03688, 0.03721, 0.03804, 0.03762, 0.03897, 0.04018, 0.04216, 0.04286, 0.04223, 0.04153, 0.04097, 0.03891, 0.03995, 0.03863, 0.03943, 0.03738, 0.03677, 0.03531, 0.03354, 0.03369, 0.03292, 0.03215, 0.03409, 0.03396, 0.03405, 0.03529, 0.03568, 0.03823, 0.0386, 0.03978, 0.04024, 0.03948, 0.04117, 0.04144, 0.04237, 0.04179, 0.04109, 0.04123, 0.04159, 0.04226, 0.04185, 0.04202, 0.0436, 0.04269, 0.0432, 0.04503, 0.04404, 0.04576, 0.04591, 0.04636, 0.04699, 0.04817, 0.0481, 0.04903, 0.04769, 0.0488, 0.0476, 0.0474, 0.04833, 0.04836, 0.05001, 0.15974, 
VA, 0.02663, 0.02642, 0.02336, 0.02223, 0.02111, 0.01883, 0.01887, 0.0184, 0.01721, 0.01702, 0.01694, 0.01649, 0.01643, 0.01698, 0.0165, 0.01751, 0.01793, 0.01798, 0.01824, 0.01887, 0.01831, 0.01899, 0.0179, 0.01896, 0.01925, 0.01823, 0.01847, 0.01881, 0.01862, 0.01805, 0.01784, 0.01795, 0.01644, 0.01629, 0.0164, 0.01678, 0.01585, 0.01541, 0.01492, 0.01564, 0.01547, 0.01555, 0.01513, 0.0151, 0.01531, 0.01546, 0.01534, 0.01624, 0.0161, 0.01648, 0.01693, 0.01663, 0.01703, 0.01712, 0.01752, 0.0182, 0.0194, 0.01953, 0.01966, 0.01986, 0.01994, 0.02026, 0.02252, 0.02372, 0.02378, 0.02486, 0.02546, 0.02543, 0.02528, 0.02613, 0.02505, 0.02498, 0.02448, 0.02414, 0.02384, 0.0241, 0.02383, 0.02427, 0.02426, 0.02423, 0.0247, 0.02475, 0.02672, 0.02574, 0.02646, 0.02776, 0.02856, 0.02906, 0.02974, 0.03054, 0.03144, 0.03259, 0.03228, 0.0335, 0.03364, 0.03526, 0.0354, 0.03591, 0.03692, 0.03713, 0.03758, 0.03739, 0.03713, 0.03725, 0.03661, 0.03745, 0.03747, 0.03874, 0.03839, 0.0387, 0.12261, 
VT, 0.08664, 0.07942, 0.06947, 0.06776, 0.06208, 0.05578, 0.05351, 0.05485, 0.05598, 0.05587, 0.05393, 0.05177, 0.05632, 0.05419, 0.05306, 0.05201, 0.05438, 0.05231, 0.05184, 0.05325, 0.05203, 0.0513, 0.05241, 0.05268, 0.0509, 0.04869, 0.05016, 0.05457, 0.05353, 0.05301, 0.04809, 0.04958, 0.04962, 0.0485, 0.04766, 0.04953, 0.04342, 0.04056, 0.0424, 0.04223, 0.04236, 0.04188, 0.04437, 0.04275, 0.04641, 0.04801, 0.04582, 0.04789, 0.04932, 0.04845, 0.04867, 0.04857, 0.04975, 0.04988, 0.05359, 0.05433, 0.05456, 0.05856, 0.05617, 0.0554, 0.05868, 0.05788, 0.06182, 0.0633, 0.06352, 0.06367, 0.06208, 0.06046, 0.06344, 0.05913, 0.05776, 0.05417, 0.05506, 0.05639, 0.05578, 0.05372, 0.05558, 0.05583, 0.05653, 0.05612, 0.05741, 0.05762, 0.06253, 0.06614, 0.06436, 0.07389, 0.07382, 0.07612, 0.07609, 0.07619, 0.08055, 0.08254, 0.07726, 0.08396, 0.08663, 0.08718, 0.08696, 0.08548, 0.09142, 0.09576, 0.09952, 0.09728, 0.09863, 0.10273, 0.09586, 0.10587, 0.1016, 0.09991, 0.10345, 0.10335, 0.15301, 
WA, 0.05013, 0.0493, 0.04477, 0.04151, 0.03953, 0.033, 0.03136, 0.03163, 0.02967, 0.03051, 0.02704, 0.0279, 0.02886, 0.02893, 0.02871, 0.02949, 0.02933, 0.02957, 0.03016, 0.02882, 0.0311, 0.02917, 0.03035, 0.03166, 0.02909, 0.02952, 0.02877, 0.02848, 0.02713, 0.02712, 0.02786, 0.02627, 0.02376, 0.0222, 0.02248, 0.02224, 0.02106, 0.01948, 0.01952, 0.01947, 0.01994, 0.0198, 0.01923, 0.0187, 0.01871, 0.01971, 0.02022, 0.02026, 0.02016, 0.02111, 0.02132, 0.02201, 0.0217, 0.02262, 0.02411, 0.02518, 0.02605, 0.02556, 0.02578, 0.02612, 0.02631, 0.02793, 0.02918, 0.02992, 0.02983, 0.03, 0.03032, 0.02973, 0.02914, 0.02953, 0.0282, 0.02822, 0.02751, 0.02761, 0.0274, 0.02736, 0.02883, 0.02942, 0.0291, 0.02971, 0.02896, 0.02957, 0.03126, 0.03149, 0.03233, 0.03262, 0.03364, 0.03367, 0.03479, 0.03444, 0.03467, 0.03596, 0.03762, 0.03653, 0.03753, 0.03844, 0.03732, 0.03923, 0.03995, 0.04026, 0.04197, 0.0411, 0.04082, 0.04043, 0.04013, 0.04132, 0.04102, 0.04186, 0.04117, 0.04133, 0.15127, 
WI, 0.03248, 0.03173, 0.02672, 0.02577, 0.02311, 0.01865, 0.01802, 0.01765, 0.01769, 0.0178, 0.01745, 0.01635, 0.01674, 0.01705, 0.01668, 0.01683, 0.01724, 0.01687, 0.01715, 0.01744, 0.01608, 0.01746, 0.01712, 0.01691, 0.01747, 0.0163, 0.01663, 0.0158, 0.01617, 0.01608, 0.01608, 0.0154, 0.01465, 0.01494, 0.01475, 0.01523, 0.01372, 0.01299, 0.01272, 0.01295, 0.01297, 0.01261, 0.01235, 0.01225, 0.0127, 0.01248, 0.01258, 0.01282, 0.01299, 0.01288, 0.01309, 0.01367, 0.0138, 0.01422, 0.01429, 0.01534, 0.01552, 0.01622, 0.0172, 0.01749, 0.01701, 0.0186, 0.02014, 0.02065, 0.02122, 0.02116, 0.02074, 0.02022, 0.0213, 0.02043, 0.02029, 0.02062, 0.0204, 0.02079, 0.02089, 0.02184, 0.02225, 0.0226, 0.02318, 0.0243, 0.02462, 0.02534, 0.02681, 0.02732, 0.02791, 0.02921, 0.02896, 0.03006, 0.03044, 0.03148, 0.03308, 0.0332, 0.03291, 0.03397, 0.03484, 0.03632, 0.03772, 0.0381, 0.04045, 0.04152, 0.04182, 0.04231, 0.04286, 0.04173, 0.04118, 0.04172, 0.04272, 0.04327, 0.04372, 0.04531, 0.12967, 
WV, 0.04162, 0.04149, 0.03578, 0.03397, 0.03068, 0.0265, 0.02587, 0.02575, 0.02403, 0.02466, 0.02352, 0.02203, 0.02259, 0.02174, 0.02092, 0.02165, 0.02235, 0.02283, 0.02178, 0.02334, 0.02357, 0.0232, 0.02302, 0.02377, 0.023, 0.0222, 0.02222, 0.02221, 0.02189, 0.02217, 0.02165, 0.02068, 0.02038, 0.02065, 0.02152, 0.022, 0.01843, 0.01805, 0.01863, 0.01841, 0.01964, 0.01901, 0.01999, 0.02051, 0.02059, 0.02223, 0.02305, 0.02238, 0.02349, 0.02369, 0.02472, 0.02505, 0.02573, 0.02663, 0.02697, 0.02796, 0.02926, 0.02895, 0.03085, 0.03066, 0.02898, 0.03016, 0.03143, 0.03294, 0.03099, 0.03286, 0.03081, 0.03057, 0.03067, 0.03021, 0.03039, 0.03158, 0.03183, 0.0328, 0.03306, 0.03461, 0.03484, 0.03615, 0.03672, 0.0365, 0.03698, 0.03833, 0.03779, 0.03965, 0.04043, 0.041, 0.04131, 0.04363, 0.04442, 0.04386, 0.04662, 0.04834, 0.04903, 0.04963, 0.05211, 0.05451, 0.05583, 0.0564, 0.05855, 0.05774, 0.06005, 0.06191, 0.06101, 0.06178, 0.06179, 0.06543, 0.06642, 0.06916, 0.06704, 0.06698, 0.12247, 
